아프가니스탄,AF
알바니아,AL
알제리,DZ
안도라,AD
앙골라,AO
앙귈라,AI
앤티가 바부다,AG
아르헨티나,AR
아르메니아,AM
아루바 섬,AW
호주,AU
오스트리아,AT
아제르바이잔,AZ
바하마,BS
바레인,BH
방글라데시,BD
바베이도스,BB
벨로루시,BY
벨기에,BE
벨리즈,BZ
베냉,BJ
버뮤다,BM
부탄,BT
볼리비아,BO
보스니아 헤르체코비나,BA
보츠와나,BW
브라질,BR
브루나이,BN
불가리아,BG
부르키나 파소,BF
부룬디,BI
캄보디아,KH
카메룬,CM
캐나다,CA
카보베르데,CV
케이맨 제도,KY
중앙아프리카 공화국,CF
차드,TD
칠레,CL
중국2,CN
콜롬비아,CO
코모로,KM
쿡 제도,CK
코스타리카,CR
크로아티아,HR
사이프러스,CY
체키아,CZ
콩고민주공화국,CD
덴마크,DK
지부티,DJ
도미니카,DM
도미니카 공화국,DO
에콰도르,EC
이집트,EG
엘살바도르,SV
적도 기니,GQ
에스토니아,EE
에티오피아,ET
페로 제도,FO
피지,FJ
핀란드,FI
프랑스,FR
프랑스령 기아나,GF
가봉,GA
감비아,GM
그루지야,GE
독일,DE
가나,GH
지브롤터,GI
그리스,GR
그린란드,GL
그레나다,GD
과들루프,GP
괌,GU
과테말라,GT
기니,GN
기니비사우,GW
가이아나,GY
아이티,HT
온두라스,HN
홍콩,HK
헝가리,HU
아이슬란드,IS
인도,IN
인도네시아,ID
이라크,IQ
아일랜드,IE
이스라엘,IL
이탈리아,IT
아이버리 코스트,CI
자메이카,JM
일본,JP
요르단,JO
카자흐스탄,KZ
케냐,KE
키리바시,KI
쿠웨이트,KW
키르기스스탄,KG
라오스,LA
라트비아,LV
레바논,LB
레소토,LS
라이베리아,LR
리비아,LY
리히텐슈타인,LI
리투아니아,LT
룩셈부르크,LU
마카오,MO
마다가스카르,MG
말라위,MW
말레이시아,MY
몰디브,MV
말리,ML
몰타,MT
마르티니크,MQ
모리타니아,MR
모리셔스,MU
멕시코,MX
몰도바,MD
모나코,MC
몽골,MN
몬테네그로,ME
몬트세라트 섬,MS
모로코,MA
모잠비크,MZ
미얀마,MM
나미비아,NA
네팔,NP
네덜란드,NL
네덜란드령 안틸 제도,AN
뉴칼레도니아,NC
뉴질랜드,NZ
니카라과,NI
니제르,NE
나이지리아,NG
마케도니아,MK
노르웨이,NO
오만,OM
파키스탄,PK
팔라우,PW
팔레스타인 영토,PS
파나마,PA
파푸아뉴기니,PG
파라과이,PY
페루,PE
필리핀,PH
폴란드,PL
포르투갈,PT
푸에르토리코,PR
카타르,QA
콩고,CG
리유니언,RE
루마니아,RO
러시아,RU
르완다,RW
세인트 크리스토퍼 네비스,KN
세인트루시아,LC
세인트 빈센트 그레나딘,VC
사모아,WS
상투메 프린시페,ST
사우디아라비아,SA
세네갈,SN
세르비아,RS
세이셸,SC
시에라리온,SL
싱가포르,SG
슬로바키아,SK
슬로베니아,SI
솔로몬 제도,SB
소말리아,SO
남아프리카공화국,ZA
대한민국,KR
남수단,SS
스페인,ES
스리랑카,LK
수리남,SR
스와질란드,SZ
스웨덴,SE
스위스,CH
대만,TW
타지키스탄,TJ
탄자니아,TZ
태국,TH
동티모르,TL
토고,TG
통가,TO
트리니다드 토바고,TT
튀니지,TN
터키,TR
투르크메니스탄,TM
터크스 카이코스 군도,TC
우간다,UG
우크라이나,UA
아랍 에미리트 연합국,AE
영국,GB
미국,US
우루과이,UY
우즈베키스탄,UZ
바누아투,VU
베네수엘라,VE
베트남,VN
영국령 버진 제도,VG
미국령 버진 제도,VI
예멘,YE
잠비아,ZM
짐바브웨,ZW